table_name,row_count
alexa,33094
asn,31989
asset,91810
checked,0
city,32267
contacts,92329
dns,16547
download_status,0
download_type,0
events,19
files,1406284
geo,0
igdb_api,0
images,0
itunes_api,0
map,25354036
os,3
playstore_api,0
popups,0
ports,10
proxy,0
redirect,17193
search,6676266
search_engine_map,0
search_engine_map_temp,10867468
social_search,859933
socials,114075
temp_table,0
text_house,0
text_search,414114
torrent_monitor,0
torrents,150194
trace_route,621157
vulnerability,15
wappalyzer,182315
website_type,0
whois,10691
whois_history,0
youtube_api,0
