table_name,row_count
active_history,233
asset,91808
asset_info,91899
client_verdict,0
credentials,590
email_queue,191
events,0
exclusion_list,692
facebooktoken,0
googletoken,0
group_info,1958
labels,418
login_history,236
manual_contacts,12979
manual_source,5986466
map,187394
notice,17574691
notice_history,0
notice_tracker,67705
payment_history,0
payment_initiate,0
promo_code,0
scheduler,2
temp_cred,932
token_vault,0
tracker,10
url_files,311108
url_label,13509892
url_label_history,898817
url_notes,615
url_status,7619077
url_status_history,1790363
user,590
user_profile,191
user_profile_history,500
user_settings,258
