Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating

"PW Class 12th Accountancy Volume 1, 2 & 3, Business Studies Volume 1 & 2, Applied Mathematics, Economics Volume 1 & 2 Combo Set of 8 Books",9789360344986,https://www.flipkart.com/pw-class-12th-accountancy-volume-1-2-3-business-studies-1-2-applied-mathematics-economics-combo-set-8-books/p/itm0949be1db4668?pid=9789360344986,https://rukminim2.flixcart.com/image/612/612/xif0q/book/k/g/b/pw-class-12th-accountancy-volume-1-2-3-business-studies-volume-1-original-imagz7uhbe7tqnga.jpeg?q=70,"₹2,057","₹2,572",20% off,"Paperback, PW",
PW CBSE 11 Sample Question Papers Class 12 Applied Mathematics for 2024 Exam (Mock Test Paper) Adhering to Competency-Based Learning | Embedded Videos and Cheet Sheet for Revision | PYQ 2023 Solved Paper,9788119860753,https://www.flipkart.com/pw-cbse-11-sample-question-papers-class-12-applied-mathematics-2024-exam-mock-test-paper-adhering-competency-based-learning-embedded-videos-cheet-sheet-revision-pyq-2023-solved-paper/p/itm5684da0571f06?pid=9788119860753,https://rukminim2.flixcart.com/image/612/612/xif0q/book/g/y/c/pw-cbse-11-sample-question-papers-class-12-applied-mathematics-original-imagvrdhy3ybfgsg.jpeg?q=70,₹249,₹299,16% off,"Paperback, Phyiscs Wallah",3.1
"Applied Mathematics (Code-241), Class-XII (2023-2024)",RBKGNYSHDRYMEU8A,https://www.flipkart.com/applied-mathematics-code-241-class-xii-2023-2024/p/itmcb5335e850e6e?pid=RBKGNYSHDRYMEU8A,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/q/l/a/applied-mathematics-code-241-class-xii-2023-2024-original-imagnysh9jguzgqd.jpeg?q=70,₹790,₹950,16% off,"Paperback, ml aggarwal, neeraj raj jain",4.2
"Applied Mathematics CBSE (Code-241), Class-XII",9789394792272,https://www.flipkart.com/applied-mathematics-cbse-code-241-class-xii/p/itm335806156ef5a?pid=9789394792272,https://rukminim2.flixcart.com/image/612/612/xif0q/book/c/h/h/applied-mathematics-code-241-class-xii-cbse-original-imagyqdffw3dksws.jpeg?q=70,₹830,"₹1,027",19% off,"Paperback, M L Aggarwal",4.7
"Applied Mathematics For Class-12 By M L Aggarwal , Neeraj Raj Jain CBSE Subject Code -241 For ( 2023-2024) Examination",RBKGMZG52CSNHURJ,https://www.flipkart.com/applied-mathematics-class-12-m-l-aggarwal-neeraj-raj-jain-cbse-subject-code-241-2023-2024-examination/p/itmce991862bdcba?pid=RBKGMZG52CSNHURJ,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/v/a/j/applied-mathematics-for-class-12-by-m-l-aggarwal-neeraj-raj-jain-original-imagmzg5bzndp23h.jpeg?q=70,₹790,₹895,11% off,"Paperback, M L Aggarwal, Neeraj Raj Jain",4.1
"CBSE Class 10 Maths Notes Vol 1&2|NCERT Exemplar, MCQs, Previous Years Questions",RBKFNYYZNS4KPBJU,https://www.flipkart.com/cbse-class-10-maths-notes-1-2-ncert-exemplar-mcqs-previous-years-questions/p/itm7c3844de5a58f?pid=RBKFNYYZNS4KPBJU,https://rukminim2.flixcart.com/image/612/612/l44hyfk0/regionalbooks/j/w/y/-original-imagf34yrzfqppgp.jpeg?q=70,₹646,₹680,5% off,"Paperback, Content Team at Target Publications",4.1
A Textbook of Applied Mathematics for Class XII - Volume 1 [Subject Code 241,9789389962192,https://www.flipkart.com/textbook-applied-mathematics-class-xii-volume-1-subject-code-241/p/itm5bc82d5a9095f?pid=9789389962192,https://rukminim2.flixcart.com/image/612/612/kmkxbww0/book/h/k/v/a-textbook-of-information-technology-for-class-9-examination-original-imagfgfj4xftphaq.jpeg?q=70,₹350,,,"Paperback, by Goyal Brothers Prakashan (Author)",3.5
"Solutions to Applied Mathematics , Class XI, CBSE Syllabus(Code-241)",9788177399295,https://www.flipkart.com/solutions-applied-mathematics-class-xi-cbse-syllabus-code-241/p/itmab783cc507777?pid=9788177399295,https://rukminim2.flixcart.com/image/612/612/xif0q/book/u/1/c/solutions-to-applied-mathematics-class-xi-cbse-syllabus-code-241-original-imagyryyxdf6g8ct.jpeg?q=70,₹865,"₹1,000",13% off,"Paperback, ML Aggarwal",4.1
Mathematics Part II Class 12 (Code 12080) ( 2019 -20),RBKG8PHDGQ7XSNNJ,https://www.flipkart.com/mathematics-part-ii-class-12-code-12080-2019-20/p/itm5cd9515ee6d39?pid=RBKG8PHDGQ7XSNNJ,https://rukminim2.flixcart.com/image/612/612/kvwpt3k0/regionalbooks/w/x/i/mathematics-part-ii-class-12-code-12080-2019-20-original-imag8phdnp5yvt6w.jpeg?q=70,₹149,₹180,17% off,"Paperback, ncert",4.3
Applied Mathematics Class 12 (2021-22),RBKG8SJZPBEUUTDR,https://www.flipkart.com/applied-mathematics-class-12-2021-22/p/itm7f70fda636f54?pid=RBKG8SJZPBEUUTDR,https://rukminim2.flixcart.com/image/612/612/kw104nk0/regionalbooks/t/j/j/applied-mathematics-class-12-2021-22-original-imag8sjzjcgenzjk.jpeg?q=70,₹439,₹455,3% off,"Paperback, Dhanpat Rai Publications Pvt. Ltd",
