"price","mrp","discount","condition","seller","sellerID","ASIN","SellerListingLink"
"399.","₹0.46","","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","8195645712",
"401.","₹499.00","-20%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","8194476488",
"₹440.00","₹500.00","-12%","New","MANAV BOOK POINTS","A3OO9LW00PHNY","8194476488","https://www.amazon.in/gp/product/8194476488?smid=A3OO9LW00PHNY&psc=1"
"₹494.00","₹499.00","-1%","New","zombozone","A10UYEE5C0HH3O","8194476488","https://www.amazon.in/gp/product/8194476488?smid=A10UYEE5C0HH3O&psc=1"
"515.","Unavailable","","New","MANAV BOOK POINTS(drop box)","A3OO9LW00PHNY","8195645704",
"₹450.00","₹520.00","-13%","New","Global Writers","A3U66FYP1G261N","8195645704","https://www.amazon.in/gp/product/8195645704?smid=A3U66FYP1G261N&psc=1"
"₹520.00","Unavailable","","New","My Book Center","AD2K8J6LP1PGT","8195645704","https://www.amazon.in/gp/product/8195645704?smid=AD2K8J6LP1PGT&psc=1"
"₹520.00","Unavailable","","New","zombozone","A10UYEE5C0HH3O","8195645704","https://www.amazon.in/gp/product/8195645704?smid=A10UYEE5C0HH3O&psc=1"
"₹468.00","₹520.00","-10%","New","COMPETITIVE EXAM BOOKS HUB","AD9JRDGHNFLQV","8195645704","https://www.amazon.in/gp/product/8195645704?smid=AD9JRDGHNFLQV&psc=1"
"₹480.00","₹520.00","-8%","New","Mittal Book Distributors","A38HF4LV2KF5HJ","8195645704","https://www.amazon.in/gp/product/8195645704?smid=A38HF4LV2KF5HJ&psc=1"
"362.","₹499.00","-27%","New","Perfect Solution.(drop box)","A7LV430YHIGDM","8195645739",
"₹499.00","Unavailable","","New","Competition books hub","A2Z4X04OCUVFJZ","8195645739","https://www.amazon.in/gp/product/8195645739?smid=A2Z4X04OCUVFJZ&psc=1"
"₹440.00","₹520.00","-15%","New","S P Bhawan","A1VHGABSI0YAAQ","8195645739","https://www.amazon.in/gp/product/8195645739?smid=A1VHGABSI0YAAQ&psc=1"
"₹480.00","₹495.00","-3%","New","Global Writers","A3U66FYP1G261N","8195645739","https://www.amazon.in/gp/product/8195645739?smid=A3U66FYP1G261N&psc=1"
"₹499.00","Unavailable","","New","COMPETITIVE EXAM BOOKS HUB","AD9JRDGHNFLQV","8195645739","https://www.amazon.in/gp/product/8195645739?smid=AD9JRDGHNFLQV&psc=1"
"268.","Unavailable","","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","8195645763",
"₹232.00","₹270.00","-14%","New","MANAV BOOK POINTS","A3OO9LW00PHNY","8195645763","https://www.amazon.in/gp/product/8195645763?smid=A3OO9LW00PHNY&psc=1"
"₹230.00","₹270.00","-15%","New","My Book Center","AD2K8J6LP1PGT","8195645763","https://www.amazon.in/gp/product/8195645763?smid=AD2K8J6LP1PGT&psc=1"
"₹375.00","₹400.00","-6%","New","Vashista 360","A5KE14ZDO9HKW","8195645763","https://www.amazon.in/gp/product/8195645763?smid=A5KE14ZDO9HKW&psc=1"
"253.","Unavailable","","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","8195645771",
"₹223.00","₹255.00","-13%","New","MANAV BOOK POINTS","A3OO9LW00PHNY","8195645771","https://www.amazon.in/gp/product/8195645771?smid=A3OO9LW00PHNY&psc=1"
