URL,Title,Image URL,ISBN-13,Author,Price,MRP,Status,Binding
https://www.bookswagon.com/book/foundation-science-physics-class-10/978b09j3lhfmc,Foundation Science Physics Class 10 By HC Verma Second Hand & Used Book,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/FMC/978B09J3LHFMC.jpg,978b09j3lhfmc,Author not found,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/foundation-science-physics-class-10/978b0ch83r8hy,Foundation Science Physics Class 10 By HC Verma Edition 2023-24 (S),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/8HY/978B0CH83R8HY.jpg,978b0ch83r8hy,Author not found,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/foundation-science-physics-class-9/978b0cs3r33sp,Foundation Science Physics Class 9 By HC Verma (S),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/3SP/978B0CS3R33SP.jpg,978b0cs3r33sp,Author not found,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/foundation-science-physics-class-10/978b0c8djwqg5,Foundation Science Physics Class 10 By HC Verma (SSS),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/QG5/978B0C8DJWQG5.jpg,978b0c8djwqg5,Author not found,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/foundation-science-physics-class-9/978b0cqh5wznp,Foundation Science Physics for Class 9 by H.C.Verma (Second Hand & Used Book) (M),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/ZNP/978B0CQH5WZNP.jpg,978b0cqh5wznp,H.C.Verma,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/foundation-science-physics-class-10/978b0c7c4z9zv,Foundation Science Physics Class 10 By HC Verma (Second Hand & Used Book) (S),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/9ZV/978B0C7C4Z9ZV.jpg,978b0c7c4z9zv,Author not found,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/concepts-physics-vol-1-class/978b0blbphmw3,Concepts Of Physics Vol 1 Class 11&12 By HC Verma Second Hand & Used Book (M),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/MW3/978B0BLBPHMW3.jpg,978b0blbphmw3,Author not found,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/foundation-science-biology-class-9/978b07bn9rqb5,Foundation Science Biology For Class 9 by Bharti Bhawan Publishers & Distributors,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/QB5/978B07BN9RQB5.jpg,978b07bn9rqb5,Author not found,₹247,MRP not found,Out of Stock,(UnknownBinding)
https://www.bookswagon.com/book/rs-aggarwal-ncrt-mathematics-class/978b0bt4yycx9,R.S Aggarwal Mathematics + NCRT Mathematics class 8 ( set of 2 books),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/CX9/978B0BT4YYCX9.jpg,978b0bt4yycx9,R.S Aggarwal,₹247,MRP not found,Out of Stock,(Perfect)
https://www.bookswagon.com/book/mathematics-class-6-by-rs/978b0ctg2b59k,Mathematics Class 6 by RS Aggarwal (Second Hand & Used Book) (M),https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/59K/978B0CTG2B59K.jpg,978b0ctg2b59k,Author not found,₹247,MRP not found,Out of Stock,(Paperback)
https://www.bookswagon.com/book/junior-maths-5-asit-das/9788177099683,Title not found,Image URL not found,9788177099683,Author not found,Price not found,MRP not found,Status not found,Binding not found
https://www.bookswagon.com/book/junior-maths-book-5-/978B09643THBD,Title not found,Image URL not found,978B09643THBD,Author not found,Price not found,MRP not found,Status not found,Binding not found
https://www.bookswagon.com/author/math-junior,Title not found,https://www.bookswagon.com/images/logos/logo-new.png,math-junior,Author not found,Price not found,MRP not found,Status not found,Binding not found
https://www.bookswagon.com/publisher/bharati-bhawan-(publishers-distributors),Title not found,Image URL not found,bharati-bhawan-(publishers-distributors),Author not found,Price not found,MRP not found,Status not found,Binding not found
https://www.bookswagon.com/book/junior-history-book-1-edward/9781902984964,Junior History Book 1,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/964/9781902984964.jpg,9781902984964,Edward Lawlor Brennan,"₹1,527","₹2,279",International Edition,(Paperback - eng)
https://www.bookswagon.com/book/concepts-physics-1-vol-2/978B07XP2X1JX,Title not found,Image URL not found,978B07XP2X1JX,Author not found,Price not found,MRP not found,Status not found,Binding not found
https://www.bookswagon.com/book/concept-physics-20222023-session-set/978b0b1fbsyfj,Title not found,Image URL not found,978b0b1fbsyfj,Author not found,Price not found,MRP not found,Status not found,Binding not found
https://www.bookswagon.com/book/aadhunik-hindi-vyakaran-aur-rachana/978B07ZRSXT3Y,Aadhunik Hindi Vyakaran Aur Rachana Book,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/T3Y/978B07ZRSXT3Y.jpg,978B07ZRSXT3Y,Bharti Bhawan Publication,₹247,MRP not found,Out of Stock,(Paperback - Hindi)
https://www.bookswagon.com/book/foundation-science-physics-class-10/978B0BTLVLRHZ,Foundation Science Physics For Class 10 by H.C Verma,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/RHZ/978B0BTLVLRHZ.jpg,978B0BTLVLRHZ,H.C. Verma,₹247,MRP not found,Out of Stock,(BoardBook)
