title,isbn,coverImage,price,mrp,rating,author,binding,url
"आधुनिक हिंदी व्याकरण और रचना  (पेपरबैक, बासुदेव नंदन प्रसाद)","","https://rukminim2.flixcart.com/image/416/416/klgx0280/regionalbooks/w/j/l/adhunik-hindi-vyakaran-aur-rachna-original-imagyh2negsfnyad.jpeg?q=70&crop=false",290,"","4.4","","","https://www.flipkart.com/hi/adhunik-hindi-vyakaran-aur-rachna/p/itm24a514de24893"
"Adhunik Hindi Vyakaran Aur Rachna  (Paperback, Hindi, DR VASUDEVNANDAN PRASAD)","","https://rukminim2.flixcart.com/image/416/416/l4yi7bk0/regionalbooks/0/d/6/adhunik-hindi-vyakaran-aur-rachna-original-imagfqsauz8k3hpw.jpeg?q=70&crop=false",280,319,"4.4","DR VASUDEVNANDAN PRASAD","Paperback","https://www.flipkart.com/adhunik-hindi-vyakaran-aur-rachna/p/itmc9a9076a5007a"
"आधुनिक हिंदी व्याकरण और रचना  (पेपरबैक, डॉ. वासुदेवनंदन प्रसाद)","","https://rukminim2.flixcart.com/image/416/416/ki3gknk0-0/regionalbooks/l/2/z/aadhunik-hindi-vyakaran-aur-rachna-original-imafxygfgg4zz4jq.jpeg?q=70&crop=false",255,259,"4.4","","","https://www.flipkart.com/hi/aadhunik-hindi-vyakaran-aur-rachna/p/itm1bf7054a7bdcf"
"आधुनिक हिंदी व्याकरण और रचना  (पेपरबैक, डॉक्टर वसुदेवनंदन प्रसाद)","","https://rukminim2.flixcart.com/image/416/416/ksqeky80/regionalbooks/p/i/1/aadhunik-hindi-vyakaran-aur-rachna-original-imag68axxkk2hysd.jpeg?q=70&crop=false",266,275,"4.4","","","https://www.flipkart.com/hi/aadhunik-hindi-vyakaran-aur-rachna/p/itm4861d0e3fc726"
"Aadhunik Hindi Vyakaran Aur Rachna  (Paperback, Hindi, Dr. Vasudev Nandan Prasad)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/k/r/a/aadhunik-hindi-vyakaran-aur-rachna-original-imagz59vmegmez6w.jpeg?q=70&crop=false",255,387,"4.1","Dr. Vasudev Nandan Prasad","Paperback","https://www.flipkart.com/aadhunik-hindi-vyakaran-aur-rachna/p/itm19219736e0fa2"
"Aadhunik Hindi Vyakaran Aur Rachna (Paperback, Hindi, Dr.Vasudevnandan Prasad)  (Paperback, Hindi, Dr.Vasudevnandan Prasad)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/n/h/f/aadhunik-hindi-vyakaran-aur-rachna-paperback-hindi-dr-original-imaggp3hwajxpzqp.jpeg?q=70&crop=false",280,299,"4.4","Dr.Vasudevnandan Prasad","Paperback","https://www.flipkart.com/aadhunik-hindi-vyakaran-aur-rachna-paperback-hindi-dr-vasudevnandan-prasad/p/itmc92a52eb66697"
"Basic Science for Class 6 / E3  (English, Paperback, Mishra Amarnath)","","https://rukminim2.flixcart.com/image/416/416/kk8mcnk0/book/y/q/p/basic-science-for-class-6-e3-original-imafzm4gcakpr5pv.jpeg?q=70&crop=false",210,421,"4.44.44.44.3","","","https://www.flipkart.com/basic-science-class-vi-based-cce-methodology-pb/p/itmdyufkft5sjjzb"
"Basic Science for Class 7 / E2  (English, Paperback, Mishra Amarnath)","","https://rukminim2.flixcart.com/image/416/416/jpsnma80/book/0/5/1/basic-science-for-class-7-e2-original-imafbyh2xqv2dxhv.jpeg?q=70&crop=false",247,359,"4.44.44.24.4","","","https://www.flipkart.com/basic-science-class-7-e2/p/itmdyufkhzjbwbaw"
"Basic Science for Class 8 / E1  (English, Paperback, Mishra Amarnath)","","https://rukminim2.flixcart.com/image/416/416/kialrww0-0/book/4/g/n/basic-science-for-class-8-e1-original-imafy3ygnhxkk79q.jpeg?q=70&crop=false",256,407,"4.34.344.4","","","https://www.flipkart.com/basic-science-class-8-e1/p/itmdyufkrgugptpn"
"Basic Science Class 8  (Paperback, A MISHRA .G MEHTA D LEHRI .R MOHAN)","","https://rukminim2.flixcart.com/image/416/416/kd3f3bk0/regionalbooks/y/a/h/basic-science-class-8-original-imafu2tsh9ynum9c.jpeg?q=70&crop=false",239,304,"4.3","A MISHRA .G MEHTA D LEHRI .R MOHAN","Paperback","https://www.flipkart.com/basic-science-class-8/p/itmf7b370684302c"
"Basic Science For Class 8  (Paperback, A Mishra, G Mehta)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/o/v/4/basic-science-for-class-8-original-imagstzswzhgszdr.jpeg?q=70&crop=false",307,410,"4.14","A Mishra, G Mehta","Paperback","https://www.flipkart.com/basic-science-class-8/p/itmf981ab2e3d552"
"Basic Science For Class 7  (Paperback, A Mishra, G Mehta)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/z/k/y/basic-science-for-class-7-original-imagstzqzsvyrby3.jpeg?q=70&crop=false",277,370,"3.7","A Mishra, G Mehta","Paperback","https://www.flipkart.com/basic-science-class-7/p/itm9a05ceb157bf0"
"Basic Science & Our World Then And Now Class 8 (Combo Pack)  (Paperback, A .MISHRA .G .MEHTA .D .LEHRI .R.MOHAN .S .MUKHERJI .K.K.MALTIAR.)","","https://rukminim2.flixcart.com/image/416/416/keokpe80/regionalbooks/j/g/n/basic-science-our-world-then-and-now-class-8-combo-pack-original-imafvazt9jgnbxsg.jpeg?q=70&crop=false",570,1001,"4.8","A .MISHRA .G .MEHTA .D .LEHRI .R.MOHAN .S .MUKHERJI .K.K.MALTIAR.","Paperback","https://www.flipkart.com/basic-science-our-world-then-now-class-8-combo-pack/p/itmff363992e6494"
"Basic Scince .social Science Class 6 Combo Book  (Paperback, a mishra . g mehta .d lehri .r mohan)","","https://rukminim2.flixcart.com/image/416/416/kehfi4w0/regionalbooks/f/d/q/basic-scince-social-science-class-6-combo-book-original-imafv4z4g9skzjhe.jpeg?q=70&crop=false",650,715,"4.1","a mishra . g mehta .d lehri .r mohan","Paperback","https://www.flipkart.com/basic-scince-social-science-class-6-combo-book/p/itm204284e2463cb"
"Class 6th Basic Science & Our World Then And Now Combo Pack 2022  (paperpack, Sagrika)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/1/s/h/class-6th-basic-science-our-world-then-and-now-combo-pack-2022-original-imagkk7fqmc2ddh7.jpeg?q=70&crop=false",680,740,"4","Sagrika","paperpack","https://www.flipkart.com/class-6th-basic-science-our-world-then-now-combo-pack-2022/p/itm86049271d5bce"
"Class 8th Basic Science & R D Sharma Mathematics In New Editions 2022  (paperpack, Amarnath Mishra)","","https://rukminim2.flixcart.com/image/416/416/l0r1j0w0/regionalbooks/1/q/k/class-8th-basic-science-r-d-sharma-mathematics-in-new-editions-original-imagchfecnrwx5gw.jpeg?q=70&crop=false",905,"","554","Amarnath Mishra","paperpack","https://www.flipkart.com/class-8th-basic-science-r-d-sharma-mathematics-new-editions-2022/p/itmf6dce9d39dc43"
"Foundation Science Physics HC Verma  (Paperback, HC Verma)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/k/h/z/foundation-science-physics-hc-verma-original-imaggn7dbty6ytc2.jpeg?q=70&crop=false","","","","HC Verma","Paperback","https://www.flipkart.com/foundation-science-physics-hc-verma/p/itm93adf464fb7a5"
"Foundation Science: Physics For Class 9 (English, Paperback, H C Verma)  (peparback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/regionalbooks/x/r/z/foundation-science-physics-for-class-9-english-paperback-h-c-original-imaepz4t4hfhpzcw.jpeg?q=70&crop=false",264,268,"4.4","H C Verma","peparback","https://www.flipkart.com/foundation-science-physics-class-9-english-paperback-h-c-verma/p/itmeq75gpurvma8w"
"Foundation Science Physics For Class 10 - CBSE - by H C Verma - Examination 2023-2024 2023 Edition  (English, Paperback, Verma H C)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/b/f/x/-original-imagzjn77uchqxyz.jpeg?q=70&crop=false",273,"","4.54.54.44.4","","","https://www.flipkart.com/foundation-science-physics-class-10-cbse-h-c-verma-examination-2023-2024-2023/p/itm6ef805024c674"
"Foundation Science Physics Class - 9  (Paperback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/j4hc5u80/regionalbooks/p/s/g/foundation-science-physics-class-9-original-imaesf4gmfxef9jj.jpeg?q=70&crop=false","","","","H C Verma","Paperback","https://www.flipkart.com/foundation-science-physics-class-9/p/itmevdvykxvzpgxt"
"Foundation Science Physics Class - 10 H C VERMA  (Paperback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/kqpj4i80/regionalbooks/4/w/8/foundation-science-physics-class-10-h-c-verma-original-imag4nszbmjet9ng.jpeg?q=70&crop=false",283,287,"4.4","H C Verma","Paperback","https://www.flipkart.com/foundation-science-physics-class-10-h-c-verma/p/itm95ecb43976613"
"Foundation Science Physics For Class 9 - CBSE - by H C Verma - Examination 2023-2024 Third Edition  (English, Paperback, Verma H C)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/8/2/q/-original-imagzjn7burq5jsn.jpeg?q=70&crop=false",273,"","4.44.44.4","","","https://www.flipkart.com/foundation-science/p/itm431de3cccfda2"
"Foundation Science Physics For Class 10  (Paperback, H C VERMA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/w/n/z/foundation-science-physics-for-class-10-original-imagjbr6ucrtbawb.jpeg?q=70&crop=false",160,175,"5","H C VERMA","Paperback","https://www.flipkart.com/foundation-science-physics-class-10/p/itme64eae165a474"
"Foundation Science Physics Class - 10 (Paperback, H C VERMA)  (Paperback, H C VERMA)","","https://rukminim2.flixcart.com/image/416/416/l08gsy80/regionalbooks/n/z/b/foundation-science-physics-class-10-paperback-h-c-verma-original-imagc25ayrf6thyh.jpeg?q=70&crop=false",295,"","4.4","H C VERMA","Paperback","https://www.flipkart.com/foundation-science-physics-class-10-paperback-h-c-verma/p/itm92fdfe93e889d"
