Title,Author,Price,MRP,Save,Discount,Cover Image,Link
Hindi Bhasha Aur Vyakaran,Pro Rajeshwar Prasad Chaturvedi,₹60.00,N/A,N/A,N/A,https://static.kopykitab.com/image/cache/data/upkar-prakashan/upkar269-161x244.jpg,https://www.kopykitab.com/Hindi-Bhasha-Aur-Vyakaran-by-Pro-Rajeshwar-Prasad-Chaturvedi
General Knowledge Adhunik Bharat for All Competitve Exam,Panel Of Experts,₹100.00,MRP ₹200.00,₹100.00,50% Off,https://static.kopykitab.com/image/cache/data/faculty-notes/514208-161x244.jpg,https://www.kopykitab.com/General-Knowledge-Adhunik-Bharat-for-All-Competitve-Exam-by-Panel-Of-Experts
UPSC Hand Written Notes  Adhunik Madhya Bharat,Panel Of Experts,₹25.00,MRP ₹50.00,₹25.00,50% Off,https://static.kopykitab.com/image/cache/data/Faculty Notes/514685-161x244.jpg,https://www.kopykitab.com/UPSC-Hand-Written-Notes-Adhunik-Madhya-Bharat-by-Panel-Of-Experts
2289 Swar Rachna Abhyas Pustika -C,Manjuri Bansal,₹187.50,MRP ₹250.00,₹62.50,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Swar-Rachna-Abhyas-Pustika-C-by-Manjuri-Bansal
2288 Shabd Rachna Abhyas Pustika-B,Manjuri Bansal,₹176.25,MRP ₹235.00,₹58.75,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Shabd-Rachna-Abhyas-Pustika-B-by-Manjuri-Bansal
Itiahs - Adhunik Bharat Ka Itihas 1757 AD to 1950 AD BA 3rd Semester Syllabus Based on National Education Policy,Dr. S.R. Verma::Subodh Kumar,₹196.00,MRP ₹280.00,₹84.00,30% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Solutions-to-PRACTICAL-PROBLEMS-In-ACCOUNTANCY-In-CORPORATE-ACCOUNTING-11-by-SBPD-Publishing-House
Class 8 Hindi Hindi Vyakaran WORKBOOK,Panel Of Experts,₹0.00,N/A,N/A,Free,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Class-8-Hindi-Hindi-Vyakaran-WORKBOOK-by-Panel-Of-Experts
2347 Saral Hindi Vyakaran Class-5,Dr. Smt Pushplata Singh,₹311.25,MRP ₹415.00,₹103.75,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Class-5-by-Dr-Smt-Pushplata-Singh
2346 Saral Hindi Vyakaran Class-4,Dr. Smt Pushplata Singh,₹296.25,MRP ₹395.00,₹98.75,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Class-4-by-Dr-Smt-Pushplata-Singh
2345 Saral Hindi Vyakaran Class-3,Dr. Smt Pushplata Singh,₹221.25,MRP ₹295.00,₹73.75,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Class-3-by-Dr-Smt-Pushplata-Singh
2344 Saral Hindi Vyakaran Class-2,Dr. Smt Pushplata Singh,₹217.50,MRP ₹290.00,₹72.50,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Class-2-by-Dr-Smt-Pushplata-Singh
48365 Saral Hindi Vyakaran Class-1,Dr. Smt Pushplata Singh,₹191.25,MRP ₹255.00,₹63.75,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Class-1-by-Dr-Smt-Pushplata-Singh
2350 Saral Hindi Vyakaran Textbook For Class-8,Dr. Smt Pushplata Singh,₹382.50,MRP ₹510.00,₹127.50,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Textbook-For-Class-8-by-Dr-Smt-Pushplata-Singh
2349 Saral Hindi Vyakaran Textbook For Class-7,Dr. Smt Pushplata Singh,₹360.00,MRP ₹480.00,₹120.00,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Textbook-For-Class-7-by-Dr-Smt-Pushplata-Singh
2348 Saral Hindi Vyakaran Textbook For Class-6,Dr. Smt Pushplata Singh,₹341.25,MRP ₹455.00,₹113.75,25% Off,https://static.kopykitab.com/catalog/view/theme/bt_bookstore/img/squares.gif,https://www.kopykitab.com/Saral-Hindi-Vyakaran-Textbook-For-Class-6-by-Dr-Smt-Pushplata-Singh
